Campo	Formato	Descripción
tipodia	character varying(10)	Tipo de día (LABORAL/SABADO/DOMINGO)
factor_expansion	double precision	Factor de expansión en base a matriz OD (zonas777)
n_etapas	integer	Cantidad de etapas del viaje
tviaje	double precision	Tiempo de viaje [min] (Se anula por nuevo tiempo mejorado)
distancia_eucl	double precision	Distancia euclidiana entre subida y bajada del viaje [m]
distancia_ruta	double precision	Distancia en ruta, suma de la distancia en ruta de cada etapa
tiempo_inicio_viaje	timestamp without time zone	Tiempo en que se realiza la subida de la primera etapa
tiempo_fin_viaje	timestamp without time zone	Tiempo en que se realiza la bajada de la última etapa
mediahora_inicio_viaje	time without time zone	Media hora en que se produce el tiempo_subida
mediahora_fin_viaje	time without time zone	Media hora en que se produce el tiempo_bajada
periodo_inicio_viaje	character varying(100)	Periodo transantiago en que se produce el tiempo_subida
periodo_fin_viaje	character varying(100)	Periodo transantiago en que se produce el tiempo_bajada
tipo_transporte_1	character varying(50)	Tipo de transporte de etapa 1
tipo_transporte_2	character varying(50)	Tipo de transporte de etapa 2
tipo_transporte_3	character varying(50)	Tipo de transporte de etapa 3
tipo_transporte_4	character varying(50)	Tipo de transporte de etapa 4
srv_1	character varying(500)	Servicio de etapa 1
srv_2	character varying(500)	Servicio de etapa 2
srv_3	character varying(500)	Servicio de etapa 3
srv_4	character varying(500)	Servicio de etapa 4
paradero_inicio_viaje	character varying(50)	Paradero de la subida de la 1era etapa
paradero_fin_viaje	character varying(50)	Paradero de bajada de la etapa final
comuna_inicio_viaje	character varying(20)	Comuna del paradero de subida
comuna_fin_viaje	character varying(20)	Comuna del paradero de bajada
zona_inicio_viaje	character varying(20)	Zona 777 de paradero de subida
zona_fin_viaje	character varying(20)	Zona 777 de paradero de bajada
modos	character varying(20)	Codificación de los modos del viaje
tiempo_subida_1	timestamp without time zone	Tiempo de subida de la etapa 1
tiempo_subida_2	timestamp without time zone	Tiempo de subida de la etapa 2
tiempo_subida_3	timestamp without time zone	Tiempo de subida de la etapa 3
tiempo_subida_4	timestamp without time zone	Tiempo de subida de la etapa 4
tiempo_bajada_1	timestamp without time zone	Tiempo de bajada de la etapa 1
tiempo_bajada_2	timestamp without time zone	Tiempo de bajada de la etapa 2
tiempo_bajada_3	timestamp without time zone	Tiempo de bajada de la etapa 3
